ResponseId,ConvertedCompYearly,DevType,LanguageHaveWorkedWith,LanguageWantToWorkWith,YearsCode,Country,EdLevel,Employment,RemoteWork,OrgSize,Age
312,46406.0,System administrator,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Scala,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;Rust;Scala,18.0,France,"Associate degree (A.A., A.S., etc.)",Employed,"Hybrid (some remote, leans heavy to in-person)",100 to 499 employees,25-34 years old
31249,63753.0,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,30.0,South Africa,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,"Hybrid (some in-person, leans heavy to flexibility)",20 to 99 employees,55-64 years old
2410,110214.0,Engineering manager,Assembly;C;Java;Kotlin;Prolog;Python;Ruby;SQL;TypeScript,Kotlin;Prolog;SQL;Gleam,16.0,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,Remote,100 to 499 employees,25-34 years old
4525,26799.0,"Developer, back-end",Java;SQL,C;C#;C++;Java;JavaScript;Kotlin;Python;SQL,11.0,Greece,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,"Hybrid (some in-person, leans heavy to flexibility)",20 to 99 employees,25-34 years old
1890,22826.0,"Developer, full-stack",Bash/Shell (all shells);C;C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Assembly,16.0,Philippines,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,"Hybrid (some in-person, leans heavy to flexibility)","1,000 to 4,999 employees",25-34 years old
11790,82370.0,Cloud infrastructure engineer,Bash/Shell (all shells);C;C++;Go;HTML/CSS;Java;JavaScript;Perl;PHP;Python;SQL,,25.0,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,Remote,100 to 499 employees,35-44 years old
31844,35949.0,"Developer, back-end",Bash/Shell (all shells);Go;HTML/CSS;Python;SQL,Bash/Shell (all shells);Go;HTML/CSS;Python;Rust;SQL;TypeScript,9.0,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",Remote,"Just me - I am a freelancer, sole proprietor, etc.",25-34 years old
38909,13645.0,"Developer, full-stack",Bash/Shell (all shells);C;Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,Assembly;Go;Python;Rust;SQL;TypeScript,6.0,Poland,Some college/university study without earning a degree,Employed,"Hybrid (some remote, leans heavy to in-person)",100 to 499 employees,18-24 years old
14007,110214.0,Cloud infrastructure engineer,Bash/Shell (all shells);C;C++;Python;SQL,Bash/Shell (all shells);C;C++;Python;Rust,24.0,Netherlands,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,"Hybrid (some in-person, leans heavy to flexibility)",Less than 20 employees,35-44 years old
10139,102093.0,"Architect, software or solutions",Java;Kotlin;Python,Rust,27.0,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,"Hybrid (some in-person, leans heavy to flexibility)","10,000 or more employees",35-44 years old
540,54457.0,"Developer, full-stack",HTML/CSS;JavaScript;PHP,C#;Python;TypeScript,13.0,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,"Hybrid (some in-person, leans heavy to flexibility)",Less than 20 employees,35-44 years old
13467,230000.0,"Developer, full-stack",Bash/Shell (all shells);Dart;Go;TypeScript,Rust,30.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,Remote,100 to 499 employees,35-44 years old
5459,60000.0,"Developer, back-end",Bash/Shell (all shells);Python;SQL;TypeScript,Bash/Shell (all shells);Python;Rust;SQL;TypeScript,5.0,Bulgaria,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,Remote,100 to 499 employees,25-34 years old
15225,160000.0,"Developer, desktop or enterprise applications",C#,C#;SQL,9.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,"Hybrid (some remote, leans heavy to in-person)","1,000 to 4,999 employees",35-44 years old
34130,71510.0,Academic researcher,Bash/Shell (all shells);JavaScript;Python,,30.0,Australia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,Remote,"1,000 to 4,999 employees",35-44 years old
15581,90491.0,Cloud infrastructure engineer,Bash/Shell (all shells);HTML/CSS;JavaScript;Python,HTML/CSS;Java;JavaScript;Python;R;TypeScript,40.0,Netherlands,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,"Hybrid (some in-person, leans heavy to flexibility)",500 to 999 employees,45-54 years old
26356,88492.0,"Developer, mobile",,,18.0,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,"Hybrid (some remote, leans heavy to in-person)",20 to 99 employees,35-44 years old
17579,126000.0,"Developer, back-end",Elixir,Elixir;Go;OCaml;Rust;Zig,10.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,Remote,100 to 499 employees,45-54 years old
44778,92812.0,"Developer, full-stack",Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;R;SQL;TypeScript,C#;HTML/CSS;Java;SQL;TypeScript,25.0,Luxembourg,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,"Hybrid (some remote, leans heavy to in-person)","1,000 to 4,999 employees",35-44 years old
46569,83531.0,"Developer, back-end",Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;Ruby;SQL,,15.0,Latvia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,In-person,Less than 20 employees,35-44 years old
30878,60328.0,Data scientist,Python,,9.0,Austria,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,"Your choice (very flexible, you can come in when you want or just as needed)",100 to 499 employees,25-34 years old
39763,48726.0,"Developer, back-end",Bash/Shell (all shells);Java;Python;SQL,Java;MicroPython;Python,18.0,Italy,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,Remote,20 to 99 employees,35-44 years old
4872,116733.0,"Developer, full-stack",Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;Kotlin;PowerShell;Python;VBA,Bash/Shell (all shells);C#;HTML/CSS;JavaScript,44.0,Canada,Some college/university study without earning a degree,Employed,In-person,500 to 999 employees,45-54 years old
46609,105000.0,"Developer, full-stack",C#;HTML/CSS;JavaScript;PowerShell;SQL,C#;Elixir;Erlang;F#;HTML/CSS;Java;JavaScript;Lisp;PowerShell;Rust;SQL;TypeScript;Gleam,51.0,United States of America,"Associate degree (A.A., A.S., etc.)",Employed,Remote,20 to 99 employees,55-64 years old
5373,85851.0,"Architect, software or solutions",C#;Go;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,20.0,Germany,"Associate degree (A.A., A.S., etc.)",Employed,"Hybrid (some remote, leans heavy to in-person)",20 to 99 employees,25-34 years old
9974,94552.0,"Developer, full-stack",Java;JavaScript;Scala;SQL,Java,37.0,Finland,Some college/university study without earning a degree,Employed,Remote,100 to 499 employees,45-54 years old
31569,170000.0,"Developer, full-stack",C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,,17.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,Remote,20 to 99 employees,25-34 years old
31275,168006.0,"Developer, embedded applications or devices",Rust;SQL,Lua;R;Rust;SQL,32.0,Norway,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,In-person,20 to 99 employees,55-64 years old
10877,44550.0,Data scientist,HTML/CSS;JavaScript;PowerShell;Python;SQL,Go;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,8.0,Czech Republic,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,"Your choice (very flexible, you can come in when you want or just as needed)",20 to 99 employees,25-34 years old
3539,8137.0,AI/ML engineer,Go;JavaScript;Python;Rust;TypeScript,Go;JavaScript;Python;Rust;TypeScript,7.0,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,In-person,Less than 20 employees,25-34 years old
37219,204212.0,"Developer, full-stack",C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Go;Rust,18.0,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,"Hybrid (some remote, leans heavy to in-person)",Less than 20 employees,35-44 years old
40996,43000.0,Other (please specify):,HTML/CSS;Java;JavaScript;Python;Rust;TypeScript,HTML/CSS;JavaScript;TypeScript,16.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,In-person,100 to 499 employees,18-24 years old
31854,46406.0,"Developer, full-stack",Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PHP;Python;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PHP;Python;TypeScript,15.0,France,Some college/university study without earning a degree,"Independent contractor, freelancer, or self-employed",Remote,"Just me - I am a freelancer, sole proprietor, etc.",25-34 years old
20581,75410.0,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,Bash/Shell (all shells);JavaScript;PowerShell;Python;Rust;SQL;TypeScript,20.0,Ukraine,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,"Your choice (very flexible, you can come in when you want or just as needed)","1,000 to 4,999 employees",35-44 years old
711,407645.0,"Architect, software or solutions",HTML/CSS;Java;JavaScript;PHP;SQL,HTML/CSS;Java;JavaScript;SQL;TypeScript,27.0,Hong Kong (S.A.R.),"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,"Hybrid (some remote, leans heavy to in-person)",500 to 999 employees,45-54 years old
12733,74249.0,"Architect, software or solutions",C#;JavaScript;PowerShell;SQL;VBA;Visual Basic (.Net),C#;PowerShell;SQL,20.0,Austria,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,"Hybrid (some remote, leans heavy to in-person)","10,000 or more employees",35-44 years old
1343,69744.0,Engineering manager,,,15.0,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,"Hybrid (some in-person, leans heavy to flexibility)","10,000 or more employees",35-44 years old
11844,230000.0,"Architect, software or solutions",Bash/Shell (all shells);C#;Go;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,C#;Go;SQL,21.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,"Hybrid (some remote, leans heavy to in-person)","5,000 to 9,999 employees",35-44 years old
2995,99464.0,"Developer, full-stack",Bash/Shell (all shells);C#;HTML/CSS;SQL;TypeScript;Visual Basic (.Net),Bash/Shell (all shells);C#;HTML/CSS;SQL;TypeScript;Visual Basic (.Net),34.0,Australia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,"Hybrid (some remote, leans heavy to in-person)",Less than 20 employees,45-54 years old
30360,185000.0,"Developer, back-end",Bash/Shell (all shells);C;C++;Go;HTML/CSS;Java;Perl;Python,Bash/Shell (all shells);C++;Go,35.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,"Hybrid (some remote, leans heavy to in-person)","5,000 to 9,999 employees",45-54 years old
20469,139218.0,"Developer, back-end",Assembly;Bash/Shell (all shells);C;C++;Go;JavaScript;Lua;Perl;Python;Ruby;Rust;SQL;Zig,C;Go;Zig,39.0,Germany,Some college/university study without earning a degree,Employed,"Hybrid (some in-person, leans heavy to flexibility)",20 to 99 employees,45-54 years old
25267,235314.0,"Senior executive (C-suite, VP, etc.)",Assembly;Bash/Shell (all shells);C;C++;Go;Groovy;HTML/CSS;Java;JavaScript;Python;Rust;SQL,Assembly;Bash/Shell (all shells);C;C++;Go;Groovy;HTML/CSS;Java;JavaScript;Python,24.0,Israel,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,"Hybrid (some in-person, leans heavy to flexibility)",500 to 999 employees,35-44 years old
36056,7838.0,"Developer, desktop or enterprise applications",C#;SQL,C#;SQL,40.0,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Not employed,,,45-54 years old
45085,25519.0,Data or business analyst,Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Kotlin;MicroPython;Perl;PHP;PowerShell;Python;SQL,C;C++;Kotlin;MicroPython;Python;SQL,20.0,Russian Federation,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Retired,,,65 years or older
25732,55687.0,AI/ML engineer,C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,C#;Go;Java;Kotlin;Python;Rust;SQL;TypeScript,10.0,Belgium,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,"Hybrid (some in-person, leans heavy to flexibility)",20 to 99 employees,25-34 years old
